username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MSNPolska;2017-10-30 10:47;0;0;"Wzrost wynagrodzeń i niskie bezrobocie . Efekt? Rekordowy spadek zaangażowania pracowników #msnpl http://www. msn.com/pl-pl/finanse/ finanse-osobiste/wzrost-wynagrodze%C5%84-i-niskie-bezrobocie-efekt-rekordowy-spadek-zaanga%C5%BCowania-pracownik%C3%B3w/ar-AAucgKo?ocid=ob-tw-plpl-572 … pic.twitter.com/nRboPUVaaV";;;#msnpl;"924935767226441729";https://twitter.com/MSNPolska/status/924935767226441729
plusradom;2017-10-30 10:34;0;1;"#Bezrobocie w woj. mazowieckim nieznacznie spada. @Warszawa_STAT zanotował także wzrost przeciętnego #wynagrodzenia . https:// radioplus.com.pl/radom/spada-be zrobocie-rosna-wynagrodzenia-26449 …";;@Warszawa_STAT;#Bezrobocie #wynagrodzenia;"924932462777716736";https://twitter.com/plusradom/status/924932462777716736
Lublin_STAT;2017-10-30 09:59;2;3;"Maleje bezrobocie . Jest lepiej niż rok temu http:// lublin.tvp.pl/34568616/malej e-bezrobocie-jest-lepiej-niz-rok-temu …";;;;"924923649831964672";https://twitter.com/Lublin_STAT/status/924923649831964672
marek_podolski;2017-10-30 07:26;0;0;"Ma rację - zatrudnijmy sezonowych niedzielnych pracowników, bezrobocie się wydatnie zmniejszy oraz emeryci dorobią sobie!";;;;"924885266698874880";https://twitter.com/marek_podolski/status/924885266698874880
JanekPotrzeba1;2017-10-30 02:27;0;0;"No był i co z tego ? Całe SLD było ni i ? Wariacje AWS - PO rozkradłyby o mało wszystko, 20% bezrobocie jakie wnioski ?";;;;"924810004217114624";https://twitter.com/JanekPotrzeba1/status/924810004217114624
alpucal;2017-10-29 23:58;0;0;"Tak się zastanawiam... bezrobocie najniższe od dawna,nie można znaleźć pracowników...czy słyszeliście by UP zwalniały?";;;;"924772458103803904";https://twitter.com/alpucal/status/924772458103803904
pawel194;2017-10-29 22:37;0;0;"A to dziwne bo ostatnio TVPpis podawał np że na Śląsku jest bezrobocie na poziomie 25% .";;;;"924752016240529409";https://twitter.com/pawel194/status/924752016240529409
MarekPmk;2017-10-29 20:50;0;2;"Jak PiS ukrywa bezrobocie : -bezrobotny to taki co jest zarejestrowanym w RUP. MOPS/GOPS płaci zdrowotne za ludzika="nie jest bezrobotny".";;;;"924725081221292038";https://twitter.com/MarekPmk/status/924725081221292038
darek252;2017-10-29 20:00;0;5;"Boli obce agentury- bezrobocie maleje a dochody do gory !!!!!!!!!!!!!!!";;;;"924712509176799232";https://twitter.com/darek252/status/924712509176799232
kmleski;2017-10-29 19:39;0;5;"Nr 2 - bezrobocie takie niskie. Umiarkowanie prorządowy materiał, ale z manipulacją danymi o emigracji. pic.twitter.com/3uBDwOy50q";;;;"924707346961588226";https://twitter.com/kmleski/status/924707346961588226
slapad83;2017-10-29 19:37;0;0;"WiadomosciTVP chwalą PIS za niskie bezrobocie na poziomie 6.8%. Twierdzą że brakuje. Tylko że głównie prac. fizycznych. Co z pozostałymi??";;;;"924706880206921729";https://twitter.com/slapad83/status/924706880206921729
beatabarbaras;2017-10-29 19:20;0;0;"A może Pani pokazać dane, jak wzrost płacy min. w 1 konkretnym kraju wpływał na bezrobocie ?";;;;"924702399075442688";https://twitter.com/beatabarbaras/status/924702399075442688
gazetaprawnapl;2017-10-29 18:23;4;5;"Wzrost wynagrodzeń i niskie bezrobocie . Efekt? Rekordowy spadek zaangażowania pracowników http:// dlvr.it/PyBhs9";;;;"924688229567098881";https://twitter.com/gazetaprawnapl/status/924688229567098881
k_nowakowska_;2017-10-29 18:21;0;0;"Wzrost wynagrodzeń i niskie bezrobocie . Efekt? Rekordowy spadek zaangażowania pracowników http:// serwisy.gazetaprawna.pl/praca-i-karier a/artykuly/1081553,rekordowy-spadek-zaangazowania-pracownikow.html … przez @gazetaprawnapl";;@gazetaprawnapl;;"924687651709517830";https://twitter.com/k_nowakowska_/status/924687651709517830
dimi_tygrys;2017-10-29 18:07;0;0;"Bezrobocie w Bułgarii i Rumunii wynika z niekonkurencyjności tych gospodarek na otwar. rynku UE. A niskie płace z niskiego PKB tych krajów";;;;"924684055542714368";https://twitter.com/dimi_tygrys/status/924684055542714368
gazetaprawnapl;2017-10-29 18:06;1;4;"Wzrost wynagrodzeń i niskie bezrobocie . Efekt? Rekordowy spadek zaangażowania pracowników http:// dlvr.it/PyBb2s";;;;"924683778584297472";https://twitter.com/gazetaprawnapl/status/924683778584297472
PracPol;2017-10-29 17:51;0;0;"Płaca minimalna wg liberałów zwiększa bezrobocie . Tymczasem w statystykach widać coś zgoła odmiennego. ;) pic.twitter.com/a7x6Cv4EFx";;;;"924680193054298113";https://twitter.com/PracPol/status/924680193054298113
marek_podolski;2017-10-29 17:19;0;1;"Można też zatrudnić sezonowych pracowników do pracy tylko w niedziele. Bezrobocie spadnie jeszcze więcej a nowi emeryci dorobią!";;;;"924671983824105472";https://twitter.com/marek_podolski/status/924671983824105472
LukasKardas;2017-10-29 16:17;0;0;"Ok, brakuje rąk do pracy, spada bezrobocie , PKB~3,7% = gospodarka się zwija, Polska obumiera bo nie ma komu wykonwać najniżej płatnej pracy. pic.twitter.com/A6n4Mqcdtw";;;;"924656437149782016";https://twitter.com/LukasKardas/status/924656437149782016
LukasKardas;2017-10-29 16:07;0;0;"Skoro brakuje rąk do pracy i mamy rekordowo niskie bezrobocie to znaczy, że gospodarka się rozwija. Chyba, że ma pan jakąś inną teorię.";;;;"924653831211880448";https://twitter.com/LukasKardas/status/924653831211880448
Przemek_Mac;2017-10-29 15:30;0;0;"Czyli wszystko dzięki zdrowej i mądrej polityce PO/ PSL ! Ciekawe ile kobiet przeszło na bezrobocie od 500plus";;;;"924644715835875330";https://twitter.com/Przemek_Mac/status/924644715835875330
OgarKosmosu;2017-10-29 14:53;0;1;"Też okolice Inowrocławia .Tu i na Mazurach bezrobocie duże ale wolałbym tam,powietrze woda.Też Pozdrawiam.";;;;"924635292241465344";https://twitter.com/OgarKosmosu/status/924635292241465344
KujawskiLaur;2017-10-29 14:26;1;2;"Spada bezrobocie i dlatego MALEJĄ wpływy że składek? Czyli to bezrobotni płacą składki zdrowotne, tak?";;;;"924628615001772033";https://twitter.com/KujawskiLaur/status/924628615001772033
AlfaBies;2017-10-29 12:51;0;2;"Zrobili: szkoły, prokuratury, 500+, PKB - uszczelnienie VAT, bezrobocie , armię robią, kopalnie rentowne, porządki z SSP. Tak można by wymieniać. Ale sądy częściowo (ambitny hamulcowy) i samorządy nie - bo ustawy zawetowane. Po 30 latach bantustanu - i tak dużo, w 2 lata.";;;;"924604538769862656";https://twitter.com/AlfaBies/status/924604538769862656
RZmarek;2017-10-29 10:02;0;1;"francja pod rzadami macrona to nie tylko bezrobocie , terroryzm , strajki ...ale tez takie problemy jak brak masla w sklepach #Woronicza17 pic.twitter.com/hqyHeII6Sh";;;#Woronicza17;"924562049673416704";https://twitter.com/RZmarek/status/924562049673416704
KapitanNemoPL;2017-10-29 09:46;0;2;"Demokrację wprowadzano w Polsce bez znieczulenia:przez bezrobocie ,poniżanie ludu jako zacofanej ciemnoty i odebranie nadziei na lepsze życie";;;;"924558159385120768";https://twitter.com/KapitanNemoPL/status/924558159385120768
Obywatel44;2017-10-28 23:13;0;2;"Super, bezrobocie i średnia wieku zmaleje. Będziemy młodym społeczeństwem :) a i IQ w PL się podniesie";;;;"924383563004481536";https://twitter.com/Obywatel44/status/924383563004481536
bsierpniowski;2017-10-28 23:01;0;1;"To spadnie bezrobocie jeszcze bardziej skoro bez rejestracji w pup będzie opieka zdrowotna PiS "pokonał" bezrobocie";;;;"924380557613596673";https://twitter.com/bsierpniowski/status/924380557613596673
Kowalczyk_Kris;2017-10-28 22:48;0;1;"Te bezrobocie jest zasługa masowej emigracji.";;;;"924377454088806401";https://twitter.com/Kowalczyk_Kris/status/924377454088806401
RBartkow;2017-10-28 22:28;1;2;"#StudioPolska IIIRP to jedna wielka afera której skutkiem było gigantyczne bezrobocie i przenoszenie produkcji dóbr konsumpcyjnych na zachód";;;#StudioPolska;"924372284432936960";https://twitter.com/RBartkow/status/924372284432936960
NinaT3333;2017-10-28 22:13;0;2;"No właśnie. Przyznajesz że bezrobocie zmalało, zarobki rosną,ludziom żyje się lepiej... A zastanawiałeś się dlaczego? Jeśli odpowiesz że dzięki pis to padnę. My właśnie tego bronimy żeby tego trendu nie zmarnował pis !!!";;;;"924368654015352832";https://twitter.com/NinaT3333/status/924368654015352832
Fil_Stankiewicz;2017-10-28 21:57;0;0;"Nie żyję w przepychu, ale od pewnego czasu lepiej niż wtedy - porównaj sobie pensje w wielu branżach, bezrobocie , to wszystko ma wpływ na życie wielu ludzi.";;;;"924364539369607168";https://twitter.com/Fil_Stankiewicz/status/924364539369607168
Dariusz_Lasocki;2017-10-28 21:40;13;20;"Bezrobocie 6,8%. Brak rak do pracy. Polacy nareszcie ja maja. @Platforma_org nikt na was juz tutaj nie czeka. Via @puls_biznesu pic.twitter.com/HdS457x8OK";;@Platforma_org @puls_biznesu;;"924360237515239424";https://twitter.com/Dariusz_Lasocki/status/924360237515239424
KkKroczynski;2017-10-28 20:29;0;0;"To pokaż mi to co złe. Ja widzę dużo większe wpływy z VAT, dużo mniejsze bezrobocie , dużo mniejsze transfery kapitału i zyski SSP.";;;;"924342284174483456";https://twitter.com/KkKroczynski/status/924342284174483456
jacekcezary;2017-10-28 20:27;0;0;"dokładnie tak samo jak politycy i dziennikarze - brak zaświadczenia od psychiatry = bezrobocie";;;;"924341886822813697";https://twitter.com/jacekcezary/status/924341886822813697
3dwardSantorski;2017-10-28 15:49;0;0;"Bezrobocie spada wiec skladki zdrowotne tez...aha! Hej PiS...tę „utalentowaną” wiceminister to z ktorego posredniaka wzieliscie? https:// twitter.com/arlukowicz/sta tus/923651241653211136 …";;;;"924272012759126016";https://twitter.com/3dwardSantorski/status/924272012759126016
MarekLada_;2017-10-28 15:23;0;3;"Czyli uniknięcie ryzyka dyktatury to:duże bezrobocie , nędza i krach budżetowy. Dla III Rzeszy i ZSRS właśnie te 3 wsparły powstanie dyktatur https:// twitter.com/zaradkiewicz/s tatus/924263426087669760 …";;;;"924265380012490752";https://twitter.com/MarekLada_/status/924265380012490752
irek_wes;2017-10-28 14:24;0;1;"Ta... rekordowe bezrobocie rekordowa nadwyżka rekordowy minister";;;;"924250435552149504";https://twitter.com/irek_wes/status/924250435552149504
Abece20983167;2017-10-28 14:09;0;0;"Ale pińcet plus i niskie bezrobocie i wstawanie z kolan.";;;;"924246624666255360";https://twitter.com/Abece20983167/status/924246624666255360
T_judkowiak;2017-10-28 13:51;0;0;"To co gadał wasz guru balcerowicz się nie sprawdza! Petru nawet własnej partii rozliczyć nie umie! Jakie masz bezrobocie ?";;;;"924242243199885312";https://twitter.com/T_judkowiak/status/924242243199885312
kazpel_BHO;2017-10-28 13:23;0;2;"no nie...tutaj potrzebna jakaś petycja do rządu..na Podkarpaciu wysokie bezrobocie ..na kasach w marketach tylko Ukraińcy...";;;;"924235244563202048";https://twitter.com/kazpel_BHO/status/924235244563202048
orlinos;2017-10-28 13:06;0;0;"Pierdu pierdu. Byłem praktykantem w okręgowym sądzie rodzinnym. Łódź, olbrzymie bezrobocie . WSZYSCY, którzy przychodzili (rozwody) /1";;;;"924230818066849793";https://twitter.com/orlinos/status/924230818066849793
BaginskiAw;2017-10-28 12:59;0;1;"Dzięki działaniom Morawieckiego, który pracuje chyba dla banków a nie dla Polaków, bezrobocie wkrótce urośnie. Grozi nam kryzys";;;;"924229207747694593";https://twitter.com/BaginskiAw/status/924229207747694593
konserwa100;2017-10-28 12:40;0;2;"Za wRealu24.pl: "Szwedzcy pracodawcy wolą przyjmować do pracy imigrantów, a nie młodych Szwedów, choć bezrobocie wśród młodych jest duże".";;;;"924224246984986624";https://twitter.com/konserwa100/status/924224246984986624
orlinos;2017-10-28 12:35;0;0;"Znam wolnościowca, który ma taką pracę, że głównie śpi. ;-) Przypomnę, że mamy niższe bezrobocie i dłuższy czas pracy niż "kapytalyści".";;;;"924222994540572672";https://twitter.com/orlinos/status/924222994540572672
new_unicorns;2017-10-28 12:28;0;0;"Wazne jest jakiekolwiek (nawet glupie i sprzeczne) wyjasnienie, niz jego brak...np: „mniej $ na zdrowie, bo bezrobocie spada!” WTF?";;;;"924221424650342400";https://twitter.com/new_unicorns/status/924221424650342400
CobraChoke;2017-10-28 12:16;0;0;"Dlaczego ma się powiększyć bezrobocie ? Sieci nie zbiednieja, a prywaciarze mają prawo handlować.";;;;"924218298241298432";https://twitter.com/CobraChoke/status/924218298241298432
JakubKarczynski;2017-10-28 12:01;0;1;"Lepiej po neoliberalnemu mieć wysokie bezrobocie , niskie pensje i brak awansu społecznego. Demokracja jeśli ma przetrwać musi być socjalna.";;;;"924214535573200898";https://twitter.com/JakubKarczynski/status/924214535573200898
tvp_info;2017-10-28 11:39;6;23;"#Morawiecki : bezrobocie obecnie jest najniższe w historii kraju i już wiele niższe nie będzie - maks. o pół punktu procentowego #wieszwiecej pic.twitter.com/LFt1B3gv17";;;#Morawiecki #wieszwiecej;"924208974580338688";https://twitter.com/tvp_info/status/924208974580338688
Manix2014;2017-10-28 10:36;0;0;"Bezrobocie w Polsce. Morawiecki: "Już wiele niższe nie będzie" https://www. money.pl/gospodarka/wia domosci/artykul/bezrobocie-morawiecki,141,0,2382221.html … przez @Money .pl";;@Money;;"924193176889577472";https://twitter.com/Manix2014/status/924193176889577472
BratWodza;2017-10-28 10:15;0;10;"Socjal to rozdawanie kasy bezrobotnym Ten rząd zlikwidował bezrobocie Zmarginalizował biedę prostym narzędziem stosowanym w wielu krajach";;;;"924187949880741888";https://twitter.com/BratWodza/status/924187949880741888
PrzemyslawWi;2017-10-28 09:54;0;0;"Czy dobrze rozumiem, że macie nadzi9na bezrobocie niższe niż naturalne?";;;;"924182554336473088";https://twitter.com/PrzemyslawWi/status/924182554336473088
fabrice026;2017-10-28 09:16;0;1;"sorry ale wzrost PKB jest taki sam jak za PO. a bezrobocie spada bo wypychają wszystko co się rusza z UP na emerytury";;;;"924172913699442688";https://twitter.com/fabrice026/status/924172913699442688
Wolny2010;2017-10-28 08:42;0;1;"Witam, może Panie ministrze mi wytłumaczy" składki spadają bo bezrobocie spada" tego nie rozumiem, pozdrawiam";;;;"924164570872152064";https://twitter.com/Wolny2010/status/924164570872152064
elaw500;2017-10-28 05:04;0;0;"Bezrobocie się zmniejsza w połowie z racji emigracji http:// fb.me/97kPn5Ddo";;;;"924109572255580160";https://twitter.com/elaw500/status/924109572255580160
WislaPany;2017-10-28 01:37;0;1;"#Bjelica sie włączył...śpij pan spokojnie, bo bezrobocie nie jest łatwe:(";;;#Bjelica;"924057599355564032";https://twitter.com/WislaPany/status/924057599355564032
Zagorzanin;2017-10-27 23:41;0;0;"I o dziwo bezrobocie nie poszybowało do 50 procent gdy takie zawody zniknęły z rynku!";;;;"924028323164053505";https://twitter.com/Zagorzanin/status/924028323164053505
Przemek_Pawlak;2017-10-27 22:53;1;15;"- Za 3 lata mnie tu nie będzie, idę tam, gdzie nie ma VAR - zaśmiał się Bjelica. To chyba na bezrobocie";;;;"924016115570888704";https://twitter.com/Przemek_Pawlak/status/924016115570888704
TommRutt;2017-10-27 22:45;0;0;"Jak to jest że od czasu "porozumienia" norweska zaczęła spadać? Ropa wysoko, bezrobocie spada... Czy w wróciły państwowe kursy walut?";;;;"924014125604311042";https://twitter.com/TommRutt/status/924014125604311042
bjorn_jebakka;2017-10-27 22:24;0;0;"W Łodzi bezrobocie , to na Widzew chodzą. We Wrocławiu pracują do 17.";;;;"924009016040349697";https://twitter.com/bjorn_jebakka/status/924009016040349697
Cezamiro;2017-10-27 21:46;0;0;"A jak oni to tłumaczą ? może to sprawdzian czy się rynek nie zawali czy nie powęszy się bezrobocie - czyli jakiś czynnik ekonomiczny ?";;;;"923999297955344385";https://twitter.com/Cezamiro/status/923999297955344385
lrasiad;2017-10-27 21:41;0;2;""Jak pośredniak jak bezrobocie ?"";;;;"923998175240835072";https://twitter.com/lrasiad/status/923998175240835072
OgarKosmosu;2017-10-27 21:34;0;0;"A chciałby Pan być w tych 5/6% ? bo ja nie chciałbym. Bezrobocie to bat na pracownika.";;;;"923996446503964672";https://twitter.com/OgarKosmosu/status/923996446503964672
rafwys;2017-10-27 19:45;0;0;"Składki spadają bo maleje bezrobocie ?, Czegoś nie kumamam Panie @Arlukowicz https:// twitter.com/Arlukowicz/sta tus/923651241653211136 …";;@Arlukowicz;;"923968934356901888";https://twitter.com/rafwys/status/923968934356901888
lkwarzecha;2017-10-27 18:29;0;1;"Jakie bezrobocie , skoro podobno są tak świetne wskaźniki gospodarcze?";;;;"923949799082221569";https://twitter.com/lkwarzecha/status/923949799082221569
pawelbudrewicz;2017-10-27 18:29;0;0;"No to jeśli jedyną alternatywą już teraz jest bezrobocie , to co będzie, jeśli czas pracy skrócimy o 1/7? Zatrudnienie wzrośnie?";;;;"923949694790840321";https://twitter.com/pawelbudrewicz/status/923949694790840321
ppeterr67;2017-10-27 18:18;0;1;"Oczywiście, takie mają warunki zatrudnienia. Ale fakt, w sumie mogą pójść na bezrobocie .";;;;"923947124823351297";https://twitter.com/ppeterr67/status/923947124823351297
gambitek;2017-10-27 17:33;15;40;"Aha, czyli nakłady na służbę zdrowia spadają kiedy spada bezrobocie i więcej osób odprowadza składki. Jedyny taki kraj na świecie. https:// twitter.com/Arlukowicz/sta tus/923651241653211136 …";;;;"923935742128214016";https://twitter.com/gambitek/status/923935742128214016
BiuroRADEK;2017-10-27 16:58;0;0;"Bezrobocie musi być przynajmniej 6 % w innym wypadku będą trudności z fachowością pracowników...";;;;"923926858172977152";https://twitter.com/BiuroRADEK/status/923926858172977152
Kamczi;2017-10-27 16:32;0;1;"Babka zaznaczyła mi na eseju "duże bezrobocie " i obok została "co to jest?". No nie wiem kurwa... Może... Duże bezrobocie ?¿?¿";;;;"923920332620226560";https://twitter.com/Kamczi/status/923920332620226560
YLucjan;2017-10-27 15:49;0;0;"Może i bezrobocie spada ale ciekawe kiedy najniższa pensja będzie równa europejskiej zapomodze dla nachodzcy,który pracę ma w d....";;;;"923909536624398342";https://twitter.com/YLucjan/status/923909536624398342
JozefNowacki;2017-10-27 15:41;4;5;"https://www. tvp.info/34584023/moraw iecki-poziom-bezrobocia-w-polsce-bliski-naturalnego … Wicepremier MM oświadczył, że bezrobocie w PL jest bliskie naturalnego i nie należy oczekiwać dużych spadków.";;;;"923907580669366272";https://twitter.com/JozefNowacki/status/923907580669366272
wnppl;2017-10-27 15:24;0;0;"To już koniec nadziei na niższe bezrobocie ? #Morawiecki przyznaje http:// bit.ly/2yUOaAt";;;#Morawiecki;"923903222091337728";https://twitter.com/wnppl/status/923903222091337728
grzela60;2017-10-27 15:15;0;1;"#Morawiecki mówi o prawdziwej pracy czy stołkach w SSP? W tych drugich "dobra zmiana" wspaniale zlikwidowała bezrobocie .";;;#Morawiecki;"923901027077718016";https://twitter.com/grzela60/status/923901027077718016
tommybernaciak;2017-10-27 15:10;2;13;"Zajmujesz się utrudnianiem ludziom życia za publiczne pieniądze. Pójdź do normalnej pracy to zobaczymy, będziesz pierwszy żeby kasy otworzyć w niedziele jak ci będzie grozić bezrobocie . A nie, ty weźmiesz zasiłek.";;;;"923899585243869184";https://twitter.com/tommybernaciak/status/923899585243869184
m2_le0;2017-10-27 14:41;0;0;"bezrobocie spada";;;;"923892494865223681";https://twitter.com/m2_le0/status/923892494865223681
Jantar65;2017-10-27 14:34;0;0;"No no Mniej to mniej ale gorzej z tym, że bezrobocie spada i składki za tym też To jest hit";;;;"923890679054503940";https://twitter.com/Jantar65/status/923890679054503940
slow_ant;2017-10-27 14:32;0;0;"Proszę się zapoznać z danymi Eurostatu. Bezrobocie w dół gospodarka w górę.";;;;"923890154875564032";https://twitter.com/slow_ant/status/923890154875564032
FXS_Forex_PL;2017-10-27 14:31;0;0;"Bezrobocie w Polsce. Morawiecki: "Już wiele niższe nie będzie" #money .pl - Gospodarka #Finanse #Forex https://www. dukascopy.com/refpro/in.php? aHR0cHM6Ly93d3cuZHVrYXNjb3B5LmNvbS9meHNwaWRlci9wbC81MDkxMDYyODM3NjI4MzMyMDAzLz91dG1fc291cmNlPXR3aXR0ZXImdXRtX21lZGl1bT1zb2NpYWwmdXRtX2NhbXBhaWduPWZ4c3BpZGVyJTIwdHdpdHRlciUyMHBvc3RpbmcKc3BwLXR3LVNwaWRQTA== …";;;#money #Finanse #Forex;"923889819293573120";https://twitter.com/FXS_Forex_PL/status/923889819293573120
Jantar65;2017-10-27 14:26;0;4;"Na Kom. Zdr. pani wicemin. ; ..budżet w 2018 mniejszy niż w 2017, ale nie wie o ile bo " bezrobocie spada to i wpływy ze składek też" Jpdl";;;;"923888723846103040";https://twitter.com/Jantar65/status/923888723846103040
T_Stanislawski;2017-10-27 13:37;1;5;"Spada bezrobocie wiec spadają wpływy ze składek !? Wtf ?";;;;"923876365409103872";https://twitter.com/T_Stanislawski/status/923876365409103872
szacher255;2017-10-27 13:35;0;0;""Spada bezrobocie więc wpływy ze składek maleją. " no to nie ma z czego się cieszyć jak bezrobocie spada:)";;;;"923875806438461440";https://twitter.com/szacher255/status/923875806438461440
nocri2;2017-10-27 13:29;0;0;"Spada bezrobocie więc wpływy ze składek maleją ... #DyktaturaCiemniaków level master #jprdl";;;#DyktaturaCiemniak #jprdl;"923874170655707136";https://twitter.com/nocri2/status/923874170655707136
tomekrog85;2017-10-27 13:21;0;0;""Spada bezrobocie to i spadają składki" wszystkich na smieciowkach zatrudniają";;;;"923872369508265984";https://twitter.com/tomekrog85/status/923872369508265984
Money_pl;2017-10-27 13:20;0;1;"Bezrobocie w Polsce. Morawiecki: "Już wiele niższe nie będzie" https://www. money.pl/gospodarka/wia domosci/artykul/bezrobocie-morawiecki,141,0,2382221.html … #gospodarka #gospodarka";;;#gospodarka #gospodarka;"923871911951650818";https://twitter.com/Money_pl/status/923871911951650818
nocri2;2017-10-27 13:14;0;0;"Odpowiedź na pytanie o zmniejszajace się finansowanie służby zdrowia: spada bezrobocie więc spadają składki ... #WTF matematyka po pisowsku";;;#WTF;"923870480003682305";https://twitter.com/nocri2/status/923870480003682305
JanTelewizorek;2017-10-27 12:30;0;0;"Natychmiast! Ponieważ państwa strefy euro mają niższy wzrost gospodarczy i wyższe bezrobocie ...";;;;"923859525291134976";https://twitter.com/JanTelewizorek/status/923859525291134976
AW175;2017-10-27 12:13;0;0;"Gdzie w Polsce jest najniższe i najwyższe bezrobocie - wrzesień 2017? http://www. biznesiprognozy.pl/2017/10/gdzie- w-polsce-jest-najnizsze-i.html?spref=tw …";;;;"923855200305209345";https://twitter.com/AW175/status/923855200305209345
wgospodarce;2017-10-27 12:08;3;3;"Mączyńska: Bezrobocie będzie spadać http:// wgospodarce.pl/wideo/42011-ma czynska-bezrobocie-bedzie-spadac …";;;;"923854001438887936";https://twitter.com/wgospodarce/status/923854001438887936
feamor72;2017-10-27 11:17;0;0;"Akurat to był tylko skrót myślowy: spada bezrobocie więc wpływy [w NFZ] ze składek [płaconych przez rząd za bezrobotnych] maleją.";;;;"923841036220329985";https://twitter.com/feamor72/status/923841036220329985
KlarWieting77;2017-10-27 11:13;0;0;"Bezrobocie spada bo chętni do pracy za euro wyjechali do Niemiec a składek nie ma..";;;;"923840169140260864";https://twitter.com/KlarWieting77/status/923840169140260864
Michal__Woj;2017-10-27 11:07;3;22;""spada bezrobocie , więc wpływy ze składek maleją!" Szanuję! @Arlukowicz - ja bym parsknął śmiechem, po prostu bym nie wytrzymał";;@Arlukowicz;;"923838628446564352";https://twitter.com/Michal__Woj/status/923838628446564352
mamago25;2017-10-27 10:50;8;15;"Wiceminister(!) zdrowia uważa, że wpływy do ZUS maleją, bo spada(!) bezrobocie . Nie wie, ile wynosi budżet na ochronę zdr. Wie @Arlukowicz https:// twitter.com/Arlukowicz/sta tus/923651241653211136 …";;@Arlukowicz;;"923834263836987393";https://twitter.com/mamago25/status/923834263836987393
Sierpien80;2017-10-27 10:14;0;0;"Wiceminister pracy: w październiku bezrobocie na poziomie z września http:// praca.wnp.pl/wiceminister-p racy-w-pazdzierniku-bezrobocie-na-poziomie-z-wrzesnia,309324_1_0_0.html …";;;;"923825335912796160";https://twitter.com/Sierpien80/status/923825335912796160
